REGIONI ,2012,2015,Differenze_2015-2012
Piemonte  ,"38,0","35,2","-2,8"
Valle d’Aosta/Vallée d’Aoste  ,"21,9","18,7","-3,2"
Liguria  ,"31,2","32,8","1,6"
Lombardia  ,"26,5","28,7","2,2"
Trentino-Alto Adige/Südtirol  ,"25,6","29,8","4,2"
Bolzano-Bozen  ,"25,5","25,9","0,4"
Trento  ,"25,7","32,4","6,7"
Veneto  ,"35,6","40,0","4,4"
Friuli-Venezia Giulia  ,"44,9","47,8","2,9"
Emilia-Romagna  ,"25,6","30,7","5,1"
Toscana  ,"38,6","43,4","4,8"
Umbria  ,"38,5","46,8","8,3"
Marche  ,"28,9","34,1","5,2"
Lazio  ,"45,1","52,9","7,8"
Abruzzo  ,"42,3","47,9","5,6"
Molise  ,"47,2","47,4","0,2"
Campania  ,"45,8","46,7","0,9"
Puglia  ,"34,6","45,9","11,3"
Basilicata  ,"38,5","56,3","17,8"
Calabria  ,"35,4","41,1","5,7"
Sicilia  ,"45,6","50,0","4,4"
Sardegna  ,"54,8","55,6","0,8"
Nord-ovest ,"30,0","30,7","0,7"
Nord-est ,"32,6","37,0","4,4"
Centro ,"41,4","48,2","6,8"
Sud ,"40,9","46,2","5,3"
Isole ,"48,3","51,6","3,3"
ITALIA ,"37,4","41,4","4,0"
