_ - _ 1,_ - _ 2 1,_ - _ 2 2,_ - _ 2 3,_ - _ 2 4,_ - _ 2 5,_ - _ 2 6,_ - _ 2 7,_ - _ 2 8,_ - _ 2 9
Piemonte ,2.159,"4,4",460,"1,1",1.177,"21,1",92,"73,4",3.888
Valle d’Aosta/Vallée d’Aoste ,272,"11,7",2,"0,4",25,"48,4",4,"39,5",303
Liguria ,600,"2,9",50,"14,3",100,"52,2",26,"30,6",776
Lombardia ,660,"0,8",65,"0,3",400,"9,7",373,"89,2",1.498
Trentino-Alto Adige/Südtirol ,113,"1,8",5,"0,2",30,"3,3",87,"94,7",235
Bolzano-Bozen ,2,..,1,"0,2",29,"5,1",17,"94,7",49
Trento ,111,"5,0",4,"0,1",1,..,70,"94,9",186
Veneto ,664,"1,9",1,"0,0",224,"11,5",259,"86,6",1.148
Friuli-Venezia Giulia ,268,"2,7",130,"1,8",265,"18,0",82,"77,5",745
Emilia-Romagna ,1.259,"1,6",82,"0,2",451,"11,8",245,"86,4",2.037
Toscana ,520,"1,0",90,"0,8",493,"15,3",200,"82,9",1.303
Umbria ,500,"2,7",11,"0,3",252,"17,4",46,"79,7",809
Marche ,171,"0,8",205,"1,7",310,"20,5",119,"77,0",805
Lazio ,32,"0,7",56,"1,4",405,"67,1",142,"30,8",635
Abruzzo ,1.009,"6,0",34,"1,7",362,"59,4",30,"32,9",1.435
Molise ,5,"1,0",61,"14,9",113,"31,8",23,"52,4",202
Campania ,28,"0,5",137,"4,4",219,"60,1",89,"35,0",473
Puglia ,1,..,4,"0,6",8,"7,3",176,"92,0",189
Basilicata ,-,-,2,"0,2",82,"32,4",88,"67,3",172
Calabria ,46,"1,9",142,"15,0",206,"49,2",48,"33,9",442
Sicilia ,63,"1,6",55,"6,9",239,"71,2",57,"20,4",414
Sardegna ,7,"0,8",15,"1,5",243,"16,9",123,"80,8",388
Nord-ovest  ,3.691,"2,3",577,"2,3",1.702,"19,1",495,"76,3",6.465
Nord-est  ,2.304,"1,9",218,"0,3",970,"10,8",673,"87,0",4.165
Centro  ,1.223,"1,0",362,"1,1",1.46,"37,7",507,"60,2",3.552
Sud  ,1.089,"1,2",380,"4,6",990,"41,6",454,"52,7",2.913
Isole  ,70,"1,3",70,"4,7",482,"49,3",180,"44,7",802
ITALIA  ,8.377,"1,6",1.607,"2,4",5.604,"29,3",2.309,"66,7",17.897
