_ - _ 1,_ - _ 2 1,_ - _ 2 2,_ - _ 2 3,_ - _ 2 4,_ - _ 2 5,_ - _ 2 6
Piemonte ,5.163,1.04,6.203,6.944,14.232,"74,4"
Valle d’Aosta/Vallée d’Aoste ,282,51,333,369,521,"76,4"
Liguria ,2.271,293,2.564,3.021,3.696,"75,2"
Lombardia ,9.443,1.959,11.402,14.831,29.417,"63,7"
Trentino-Alto Adige/Südtirol ,1.758,753,2.512,2.165,3.976,"81,2"
Bolzano-Bozen ,918,696,1.613,920,1.753,"99,8"
Trento ,841,58,898,1.245,2.223,"67,5"
Veneto ,4.094,1.367,5.461,8.091,15.718,"50,6"
Friuli-Venezia Giulia ,1.134,277,1.411,2.106,3.51,"53,8"
Emilia-Romagna ,4.971,898,5.868,7.235,14.358,"68,7"
Toscana ,3.335,2.774,6.109,6.569,10.693,"50,8"
Umbria ,990,121,1.111,1.395,2.171,"71,0"
Marche ,1.322,56,1.378,2.656,4.451,"49,8"
Lazio ,5.758,464,6.223,8.357,12.208,"68,9"
Abruzzo ,1.716,173,1.889,2.444,3.768,"70,2"
Molise ,398,115,513,552,815,"72,1"
Campania ,5.621,1.05,6.671,8.715,12.018,"64,5"
Puglia ,4.678,110,4.788,6.797,8.874,"68,8"
Basilicata ,630,32,662,925,1.218,"68,1"
Calabria ,2.153,107,2.26,3.87,4.262,"55,6"
Sicilia ,4.023,683,4.705,8.328,10.037,"48,3"
Sardegna ,1.803,1.372,3.176,2.98,3.607,"60,5"
Nord-ovest ,17.16,3.343,20.502,25.165,47.865,"68,2"
Nord-est ,11.957,3.295,15.252,19.597,37.563,"61,0"
Centro ,11.405,3.415,14.821,18.977,29.523,"60,1"
Sud ,15.196,1.587,16.783,23.303,30.955,"65,2"
Isole ,5.826,2.055,7.881,11.308,13.644,"51,5"
ITALIA ,61.544,13.695,75.239,98.349,159.55,"62,6"
