_ - _ 1,_ - _ 2,_ - _ 3 1,_ - _ 3 2,_ - _ 3 3
Liguria , ,2,1.054,437
 ,centrali termoelettriche ,1,1.028,428
 ,impianti petrolchimici ,-,-,-
 ,impianti idropotabili ,1,27,9
Toscana , ,3,1.094,384
 ,centrali termoelettriche ,-,-,-
 ,impianti petrolchimici ,-,-,-
 ,impianti idropotabili ,3,1.094,384
Lazio , ,4,3.928,592
 ,centrali termoelettriche ,4,3.928,592
 ,impianti petrolchimici ,-,-,-
 ,impianti idropotabili ,-,-,-
Puglia , ,7,26.118,6.011
 ,centrali termoelettriche ,1,3.276,1.641
 ,impianti petrolchimici ,6,22.842,4.37
 ,impianti idropotabili ,-,-,-
Calabria , ,1,494,84
 ,centrali termoelettriche ,1,494,84
 ,impianti petrolchimici ,-,-,-
 ,impianti idropotabili ,-,-,-
Sicilia , ,9,37.219,8.003
 ,centrali termoelettriche ,3,10.74,1.852
 ,impianti petrolchimici ,1,19.68,2.751
 ,impianti idropotabili ,5,6.799,3.4
Sardegna , ,5,18.809,2.321
 ,centrali termoelettriche ,4,4.747,546
 ,impianti petrolchimici ,1,14.062,1.775
 ,impianti idropotabili ,-,-,-
ITALIA , ,31,88.716,17.832
 ,centrali termoelettriche  ,14,24.213,5.143
 ,impianti petrolchimici  ,8,56.584,8.896
 ,impianti idropotabili  ,9,7.92,3.793
