_ - _ 1 1,_ - _ 1 2,_ - _ 1 3,_ - _ 1 4,_ - _ 1 5,_ - _ 3,_ - _ 4
,6.1.1,6.1.1,6.1.1,6.3.1,, 6.4.1, 6.a.1
ANNI,Famiglie che
non si fidano di
bere l’acqua del
rubinetto (%),Famiglie che lamentano irregolarità nell'erogazione di acqua (%), Acqua erogata pro capite (litri/ab/g),Quota percentuale dei carichi inquinanti confluiti in impianti secondari o avanzati rispetto ai carichi complessivi urbani generati (%), Efficienza delle reti di distribuzione dell'acqua potabile (%), Aiuto Pubblico allo Sviluppo nei settori dell'acqua e sanitizzazione (Milioni di euro) 
2005,-,-,250,"53,5"," 67,4", -
2008,-,-,253,"56,5"," 67,9", -
2010,"32,8","10,8",-,-, -, -
2011,"30,0","9,4",-,-, -, -
2012,"30,3","8,9",241,"57,6"," 62,6", 
2013,"29,2","10,0",-,-, -," 8,65"
2014,"28,0","8,7",-,-, -," 20,94"
2015,"30,0","9,2",220,"59,6"," 58,6"," 16,29"
2016,"29,9","9,4",-,-, -," 15,63"
2017,"29,1","10,1",-,-, -, -
2018,"29,0","10,4",-,-, -, -
