"Stazione Tipo";"Provincia";"Comune Nome";"Corpo Idrico Nome";"Stazione Id";"Stazione Nome";"Subsito";"Data";"Parametro Nome";"Valore Alfanum";"Matrice";"Prof M";"Note"
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"meta-xilene+para-xilene - µg/L";"< 0,2";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"tribromometano (bromoformio) - µg/L";"< 0,05";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"CONCENTRAZIONE IONI IDROGENO - unità pH";"8,647";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"pressione atmosferica - mbar";"1026";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"intensita' del vento - N.D.";"DEBOLE";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"OSSIGENO DISCIOLTO - mg/L";"8,25";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"nonilfenolo (miscela isomeri) - µg/L";"< 0,1";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"ORTO-XILENE - µg/L";"< 0,1";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"clorometano - µg/L";"< 0,05";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"1,2-dicloropropano - µg/L";"< 0,05";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"CLOROFILLA A - µg/L";"< 0,02";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"1,1,2,2-tetracloroetano - µg/L";"< 0,01";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ORBETELLO";"COSTA DI BURANO";"MAR-AS";"ANSEDONIA";"WA1";"21-FEB-20";"2-clorotoluene + 3-clorotoluene - µg/L";"< 0,2";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"3-CLOROFENOLO - µg/L";"< 0,2";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"BENZO[K]FLUORANTENE - µg/L";"< 0,001";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"BENZENE - µg/L";"< 0,1";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"DI(2-ETILESIL) FTALATO - µg/L";"< 0,4";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"TRICLOROBENZENI - µg/L";"< 0,1";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"TRICLOROBENZENI - µg/L";"< 0,1";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"TRICLOROBENZENI - µg/L";"< 0,1";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"TOLUENE - µg/L";"< 0,1";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"SA1";"21-FEB-20";"PIOMBO - mg/kg s.s.";"30";"SED";"-";"SEDIMENTO    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"PIOMBO - µg/L";"0,5";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"SA1";"21-FEB-20";"ARSENICO - mg/kg s.s.";"13";"SED";"-";"SEDIMENTO    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"ARSENICO - µg/L";"1,9";"ACQ";"-";"ACQUA DI MARE    "
"CW";"GR";"ISOLA DEL GIGLIO";"ARCIPELAGO - ISOLE MINORI";"MAR-IG";"ISOLA DEL GIGLIO";"WA1";"21-FEB-20";"PENTACLOROFENOLO - µg/L";"< 0,05";"ACQ";"-";"ACQUA DI MARE    "
